text,y
그들의 사생활 ~ 고인이된 설리를 위해서라도 모두 조용하길 지금 누굴 탓한다고 무슨소용이있다고,0
아무리 법이 뭣같아도 무슨 자격으로 개인의 신상정보를 불특정 다수에게 공개하는지 도저히 이해가 안되네요 법을 바꾸기 위해 노력하세요 저런 능력으로 불법적인 일을 공공의 이익으로 포장하지 마시구요,0
여자들도 아무한테나 자기야라고하는사람있는데 그것도성희롱인것같은데요,0
지연이 얼굴은 더 배우같네...,0
건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 가슴이 애려 옵니다ㅜㅜ,0
이런기사 내지마세요.,0
세계적으로 코로나19 방역 최고로 인정을 받도록 한 자들에게 큰박수를 보냅니다,0
돈이전부는 아니라지만 첫째가 돈이 먼저지 이세상 에는 돈으로 세상을사니ㅠ,0
n차 하면 할수록 닐 너무 짠함ㅠㅜ 어쩐지 처음부터 눈빛이 묘하더라,0
남자측 욕하지마세요,0
오창석 잘생기고 연기도 괜찮은데.. 왜 이런데에....ㅠ피고인때 더 퐉 터뜨렸어야했나,0
이건 무슨 소리?,0
심뽀 더러운 인간들 많네젊은 청년이 열심히 하는게 참 대단하다 싶은데반면에 시기질투하는 인간들도 많을거야,0
차은우는 아스트로 탈퇴하고 배우길 걸으면 안돼나요?,0
도희가 없어서 긍가,0
창문에 비춰지는 어머님 설거지 하시는 모습 레게노,0
재밍네영 기괴한거말그대로인듯,0
한국와서살면 그정돈 아무것도아닐텐데....이참에 귀화해라,0
헉 생각보다 엄청 예뻤네요??? ㅎ,0
잘생겼다 근데 40대비율 너무높다 으,0
근데 김지석은 나올 짬밥이 아닌데,0
역시 오늘도 엔딩맛집,0
최욱만 불쌍 ㅜ,0
사람이 저렇게 단기간에 찌우고 빼고 하는데 난 왜 근 10년이 지나도록 빼는거 하나가 어려운걸까..,0
신품 때 섹시하신 것도 잘 어울렸는데 이 컨셉은 쪼금 아쉽네용ㅋㅋ 그래도 예쁘심,0
요즘 과하게 오픈하시네 ㅋㅋ,0
요즘 차 좋던데 4년 탔는데 엔진오일만 몇번교환하고 뒷범퍼 추돌해서 교환한것밖에없는데 ~ 타이어교환할때가 되긴했지만 ~,0
인직 너무 귀엽고 ❤️,0
현지해설 풀하이라이트 부탁합니다,0
헨리편 노잼 황재균편 꿀잼,0
765g? 865원가가 57달러밖에 안하는데 그게 아깝냐?,0
고럼고럼 당연한거지,0
참...실수해서 제대로 사과했는데 왜 자꾸들 그러는지,0
마!! 옛날사진으로 사기치지 말고 저 시절로 돌아가라! 장가 가야지👏,0
아 ㅠㅠ 오빠 너무 잘생겼어요 .. ㅠㅠ 오빠 때문에 롤 시작했다가 등급 아이언4 나오고 접었어요,0
본인이 자신 있으니까 나온 거 겠지ㅎ 뜨거울 나인데ㅎ,0
어제 넘웃겻어여 ㅋㅋ특히 도전골든벨 ㅋㅋㅋ코요테 영원하라,0
1상으로 기사나오는건 첨봄 ㅋㅋ,0
진영이 형님은 우리 곡의 하술사 lYG행닝을 이기고 오셨으면 좋겠다는 마음입니다 행님~,0
관람객의 90프로 이상이 이해못하는 영화를 감독탓이 아닌 관람객탓으로 돌리는 안타까운 사람들....,0
순간 베르통언인줄.....그가 아직도 내 머릿속에 있다........그립다..슈퍼얀....,0
